acq_date,year,quarter,month_num,month_name,week,is_dry_season,datetime,province,latitude,longitude,frp,brightness,conf_label,daynight,dist_school_km,schools_5km,prov_pop,intensity_score,exposure_score,risk_score,risk_tier
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.67828,109.80524,32.18,331.81,Nominal,D,2.514156082350487,2,4395983,0.5581981722247242,0.5607883763199241,0.5596227844770842,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.807,110.56615,21.62,339.77,Nominal,D,1.3859269500065055,6,4395983,0.5342843467048071,0.6823629803106529,0.6157275951880223,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.78972,110.40314,4.59,336.13,Nominal,D,1.3231785392917434,10,4395983,0.405937307287508,0.7111673027775812,0.5738138048070484,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.77578,110.31195,6.4,336.11,Nominal,D,2.7800444019091883,3,4395983,0.43074856513911586,0.5604146072903647,0.5020648883223028,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.83367,110.66606,3.55,329.64,Nominal,D,1.10629385694306,3,4395983,0.3795505977011657,0.6744225386798136,0.5417301652394221,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.81547,110.54666,4.93,332.71,Nominal,D,1.289197106720171,4,4395983,0.4068653346271254,0.6718854539082814,0.5526264002317612,Sedang
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.79419,110.40721,4.59,331.93,Nominal,D,0.6921646103209562,14,4395983,0.40065661325346813,0.779267071725612,0.6088923654131473,Tinggi
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.83738,110.6655,78.57,333.82,Nominal,D,1.4581285428145372,3,4395983,0.6381731167456718,0.6471919644625822,0.6431334829899725,Kritis
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.79866,110.41123,14.72,333.73,Nominal,D,0.32520205211410663,18,4395983,0.4944693094111965,0.8249827819106679,0.6762517192859058,Kritis
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.79795,110.40659,13.1,330.52,Nominal,D,0.7388011667378322,17,4395983,0.480803491790764,0.784913803209312,0.6480641630709655,Kritis
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.71305,109.74441,14.25,344.96,Nominal,D,0.5171142817378322,10,4395983,0.5059012168689552,0.7782973507868376,0.6557190905237905,Kritis
2024-08-01,2024,3,8,Aug,31,1,2024-08-01 05:46:00,KALIMANTAN BARAT,0.71698,109.7438,14.25,342.4,Nominal,D,0.7778734342588289,9,4395983,0.5026825081243976,0.7503213339278695,0.6388838623163072,Kritis
